Timestamp,PM10 (µg/m³),SO2 (µg/m³),CO (mg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³)
2024-01-01,183.94,11.41,0.79,2.23,1.31,4.82
2024-01-02,242.9,11.11,0.87,2.43,1.44,5.29
2024-01-03,233.8,11.57,1.42,3.96,2.34,8.64
2024-01-04,251.05,10.77,0.79,2.23,1.31,4.84
2024-01-05,195.38,11.86,0.98,2.73,1.61,5.94
2024-01-06,222.86,13.03,1.03,2.98,1.77,6.49
2024-01-07,202.02,12.69,0.86,2.42,1.43,5.25
2024-01-08,305.4,10.74,1.28,3.6,2.13,7.83
2024-01-09,166.6,12.39,0.74,2.08,1.22,4.51
2024-01-10,178.32,4.25,0.9,2.5,1.48,5.45
2024-01-11,214.84,2.98,1.14,3.17,1.88,6.9
2024-01-12,191.76,6.42,1.02,2.84,1.68,6.18
2024-01-13,325.05,6.01,2.57,7.16,4.22,15.58
2024-01-14,310.81,9.94,2.49,7.07,4.17,15.37
2024-01-15,207.38,10.48,1.62,4.54,2.69,9.87
2024-01-16,188.72,3.58,1.09,3.06,1.8,6.65
2024-01-17,180.64,4.34,0.77,2.16,1.27,4.7
2024-01-18,115.46,2.54,0.94,2.6,1.54,5.68
2024-01-19,137.63,4.44,0.82,2.3,1.36,5.01
2024-01-20,295.82,12.93,1.54,4.49,2.65,9.75
2024-01-21,262.69,9.56,1.55,4.33,2.57,9.43
2024-01-22,210.81,20.98,1.07,3.0,1.77,6.52
2024-01-23,207.33,17.66,1.56,4.33,2.57,9.44
2024-01-24,272.1,16.12,1.68,4.67,2.76,10.18
2024-01-25,243.84,18.61,1.58,4.4,2.6,9.58
2024-01-26,300.51,16.6,1.93,5.35,3.16,11.63
2024-01-27,247.7,18.3,2.5,7.12,4.21,15.49
2024-01-28,353.45,16.56,2.31,6.45,3.81,14.03
2024-01-29,272.82,20.93,2.1,5.85,3.47,12.75
2024-01-30,328.26,18.7,2.25,6.3,3.72,13.72
