Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),MP-Xylene (µg/m³),WS (m/s),WD (deg),SR (W/mt2)
2024-01-01,126.69,253.99,14.79,32.52,17.02,40.49,1.77,49.94,1.72,4.55,1.35,0.94,267.54,39.55
2024-01-02,126.39,202.8,12.66,42.59,21.06,49.54,1.24,49.5,4.32,5.35,4.52,0.97,278.36,45.19
2024-01-03,148.11,226.3,8.67,76.58,24.2,56.07,1.73,49.93,4.31,5.35,4.54,0.8,241.07,38.17
2024-01-04,141.81,199.25,9.09,66.13,29.35,48.89,1.6,49.58,4.32,5.34,4.51,1.15,311.86,23.13
2024-01-05,134.89,187.94,13.61,27.48,20.24,28.47,1.51,51.2,4.1,5.14,4.18,0.96,271.47,28.6
2024-01-06,71.94,146.61,14.49,23.56,28.38,36.54,1.41,49.8,4.32,5.42,4.56,1.05,275.43,40.88
2024-01-07,75.29,148.48,15.61,18.68,27.39,34.33,1.32,49.93,4.31,5.29,4.54,0.68,233.83,42.72
2024-01-08,152.63,252.37,20.13,27.11,35.13,42.66,2.44,49.8,4.31,5.37,4.57,0.65,233.01,30.41
2024-01-09,85.23,155.4,15.6,18.63,27.48,34.32,1.53,49.92,4.3,5.32,4.56,1.39,305.55,31.89
2024-01-10,104.44,144.04,15.63,18.63,27.57,34.32,1.32,49.93,4.32,5.35,4.54,1.39,308.21,41.3
2024-01-11,146.81,206.36,15.16,33.14,31.31,41.94,1.73,49.94,4.32,5.32,4.53,1.07,284.16,38.57
2024-01-12,175.52,237.39,20.3,60.72,46.51,62.68,1.87,49.93,4.3,5.32,4.53,0.83,268.96,42.69
2024-01-13,376.03,421.38,17.71,51.23,38.83,46.25,3.52,49.94,4.32,5.34,4.5,0.68,199.32,49.73
2024-01-14,189.09,235.96,15.84,17.98,26.6,35.46,3.13,48.93,4.14,5.42,4.61,0.86,271.59,22.99
2024-01-15,181.21,256.19,15.69,18.68,27.41,34.36,2.47,50.18,4.31,5.33,4.51,0.91,265.11,44.14
2024-01-16,151.51,228.9,14.29,40.8,33.32,46.03,3.15,49.94,4.32,5.31,4.53,0.82,174.33,39.85
2024-01-17,162.89,240.55,12.73,23.26,26.52,36.96,1.44,50.12,4.3,5.35,4.51,0.74,195.09,42.19
2024-01-18,119.54,165.75,13.24,20.72,24.33,32.61,1.04,51.17,4.12,5.19,4.19,0.8,186.91,41.33
2024-01-19,151.29,218.43,13.07,21.01,25.12,34.52,1.12,49.3,4.34,5.47,4.56,0.75,208.56,41.45
2024-01-20,207.71,314.0,13.15,19.76,24.73,33.32,1.4,49.93,4.27,5.28,4.49,0.76,235.89,39.89
2024-01-21,232.76,294.09,15.67,18.63,27.49,34.17,1.86,49.94,4.32,5.31,4.5,1.25,287.67,38.61
2024-01-22,233.05,313.38,10.6,23.23,22.67,33.42,1.28,49.93,4.3,5.34,4.54,0.83,238.72,53.84
2024-01-23,180.79,260.72,8.94,28.71,20.44,29.32,1.53,48.34,4.38,5.66,4.55,0.77,219.68,42.39
2024-01-24,264.27,360.3,12.03,27.52,26.13,39.3,2.09,49.11,4.28,5.17,4.7,0.81,276.76,32.33
2024-01-25,173.96,303.55,12.23,31.42,23.13,30.53,2.03,52.29,4.24,4.24,4.25,0.76,260.91,50.58
2024-01-26,192.28,312.94,15.64,18.66,27.41,34.23,2.49,49.93,4.32,5.33,4.5,0.7,229.81,48.08
2024-01-27,181.43,277.13,15.67,18.65,27.53,34.29,2.26,49.93,4.3,5.35,4.51,0.89,260.76,50.79
2024-01-28,255.36,368.06,15.63,18.61,27.43,34.42,2.25,49.87,4.33,5.31,4.56,0.73,189.22,56.28
2024-01-29,172.58,231.52,15.83,18.72,27.34,34.24,1.57,49.76,4.34,5.33,4.53,0.81,257.26,44.29
2024-01-30,148.89,245.02,15.65,18.5,27.4,34.89,2.0,49.21,4.34,5.47,4.61,1.01,288.55,44.06
2024-01-31,145.22,272.13,15.31,21.15,25.8,29.46,2.56,54.65,4.11,4.81,3.73,0.73,231.83,33.26
2024-02-01,66.12,116.93,15.82,19.33,27.05,33.66,0.74,51.63,3.9,4.94,4.2,0.86,155.44,59.92
2024-02-02,102.06,166.35,15.66,18.63,27.44,34.38,1.19,49.66,4.33,5.34,4.55,0.86,269.13,42.7
2024-02-03,106.68,238.85,15.58,18.6,27.54,34.22,1.24,49.85,4.3,5.33,4.53,0.74,254.5,58.42
2024-02-04,155.6,249.14,15.73,19.2,26.04,33.61,1.63,49.26,3.92,4.9,4.37,0.7,204.6,47.08
2024-02-05,77.93,128.36,15.68,18.67,27.47,34.21,0.72,49.94,4.32,5.32,4.52,1.23,284.68,49.37
2024-02-06,71.55,145.15,15.69,18.65,27.47,34.39,0.67,49.94,4.33,5.32,4.53,1.34,297.48,57.51
2024-02-07,86.55,164.25,15.61,18.62,27.53,34.34,0.71,49.93,4.31,5.34,4.57,1.41,284.79,67.66
2024-02-08,72.37,139.38,15.64,18.63,27.5,34.22,0.58,49.93,4.31,5.34,4.52,1.2,219.75,69.58
2024-02-09,91.22,222.64,15.66,18.54,27.04,34.34,1.0,49.79,4.23,5.27,4.5,0.81,244.97,65.58
2024-02-10,262.95,423.93,15.67,18.66,27.48,34.24,2.69,49.94,4.33,5.36,4.52,0.85,267.16,69.88
2024-02-11,254.16,346.22,15.85,17.97,24.95,35.31,1.54,49.1,3.92,5.02,4.64,0.86,243.0,74.22
2024-02-12,178.67,291.33,15.71,18.65,27.57,34.29,1.62,49.93,4.32,5.35,4.53,0.83,265.86,73.16
2024-02-13,282.07,407.58,15.79,18.62,27.51,34.34,2.23,49.74,4.33,5.35,4.54,0.86,268.24,65.44
2024-02-14,161.89,242.45,15.66,18.61,27.52,34.3,1.73,49.93,4.31,5.33,4.53,0.84,250.69,68.24
2024-02-15,133.13,260.42,15.78,18.57,27.51,34.36,1.23,49.94,4.32,5.34,4.54,0.98,258.35,65.68
2024-02-16,128.74,305.58,15.73,18.24,26.2,34.89,1.62,49.87,4.32,5.36,4.56,0.98,280.21,68.53
2024-02-17,154.44,278.89,15.68,18.63,27.46,34.32,2.09,49.94,4.33,5.31,4.53,0.95,261.83,70.16
2024-02-18,133.6,230.85,15.71,18.61,27.56,34.36,1.49,49.94,4.34,5.34,4.56,0.93,215.58,78.7
2024-02-19,116.16,265.03,15.68,18.73,27.51,34.0,0.66,50.03,4.35,5.39,4.5,1.19,146.08,76.34
2024-02-20,144.93,247.88,15.69,18.62,27.41,34.01,0.93,50.03,4.34,5.36,4.51,0.75,211.44,79.76
2024-02-21,119.16,201.55,15.64,18.64,27.53,34.26,0.99,49.93,4.31,5.33,4.52,1.25,287.36,55.9
2024-02-22,76.59,159.62,15.8,18.6,27.32,34.47,0.69,49.88,4.29,5.32,4.55,1.12,287.76,79.39
2024-02-23,62.7,149.62,15.73,18.16,27.53,34.94,0.64,49.26,4.3,5.49,4.62,1.09,279.77,84.33
